,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Player-additional
4248,Ron Sobie,1957,1960,G,6-3,185.0,September 21 1934,DePaul,sobiero01
4249,Jeremy Sochan,2023,2023,F,6-9,230.0,May 20 2003,Baylor,sochaje01
4250,Mike Sojourner,1975,1977,C-F,6-9,225.0,October 16 1953,Utah,sojoumi01
4251,Willie Sojourner,1972,1975,C-F,6-8,225.0,September 10 1948,Weber State,sojouwi01
4252,Will Solomon,2002,2009,G,6-1,185.0,July 20 1978,Clemson,solomwi01
4253,Willie Somerset,1966,1969,G,5-8,170.0,March 17 1942,Duquesne,somerwi01
4254,Darius Songaila,2004,2011,F,6-9,248.0,February 14 1978,Wake Forest,songada01
4255,Dave Sorenson,1971,1973,F,6-8,225.0,July 8 1948,Ohio State,sorenda01
4256,James Southerland,2014,2014,F,6-8,215.0,April 28 1990,Syracuse,southja01
4257,Gino Sovran,1947,1947,F-G,6-2,175.0,December 17 1924,Detroit Mercy,sovragi01
4258,Pape Sow,2005,2007,F,6-10,250.0,November 22 1981,Cal State Fullerton,sowpa01
4259,Ken Spain,1971,1971,C,6-9,225.0,October 6 1946,Houston,spainke01
4260,Ray Spalding,2019,2021,F,6-10,215.0,March 11 1997,Louisville,spaldra01
4261,Jim Spanarkel,1980,1984,G-F,6-5,190.0,June 28 1957,Duke,spanaji01
4262,Vassilis Spanoulis,2007,2007,G,6-4,195.0,August 7 1982,,spanova01
4263,Dan Sparks,1969,1970,F,6-8,200.0,April 17 1945,Vincennes University Weber State,sparkda01
4264,Guy Sparrow,1958,1960,F,6-6,218.0,November 2 1932,Detroit Mercy,sparrgu01
4265,Rory Sparrow,1981,1992,G,6-2,175.0,June 12 1958,Villanova,sparrro01
4266,Odie Spears,1949,1957,G,6-5,205.0,June 17 1924,Western Kentucky,spearod01
4267,Art Spector,1947,1950,F,6-4,200.0,October 17 1920,Villanova,spectar01
4268,Marreese Speights,2009,2018,C-F,6-10,255.0,August 4 1987,Florida,speigma01
4269,Omari Spellman,2019,2020,F,6-8,245.0,July 21 1997,Villanova,spellom01
4270,Andre Spencer,1993,1994,F,6-6,210.0,July 20 1964,Northern Arizona University,spencan01
4271,Elmore Spencer,1993,1997,C,7-0,270.0,December 6 1969,Georgia UNLV,spencel01
4272,Felton Spencer,1991,2002,C,7-0,265.0,January 15 1968,Louisville,spencfe01
4273,Lou Spicer,1947,1947,F,6-2,195.0,November 12 1922,Syracuse,spicelo01
4274,Craig Spitzer,1968,1968,C,7-0,225.0,December 18 1945,Tulane,spitzcr01
4275,Tiago Splitter,2011,2017,F-C,6-11,245.0,January 1 1985,,splitti01
4276,Art Spoelstra,1955,1958,C,6-9,220.0,September 11 1932,Western Kentucky,spoelar01
4277,Bruce Spraggins,1968,1968,F,6-5,188.0,August 31 1939,Virginia Union University,spragbr01
4278,Latrell Sprewell,1993,2005,G,6-5,190.0,September 8 1970,Alabama,sprewla01
4279,Larry Spriggs,1982,1986,F,6-7,230.0,September 8 1959,Howard University,sprigla01
4280,Jaden Springer,2022,2023,G,6-4,204.0,September 25 2002,Tennessee,sprinja01
4281,Jim Springer,1949,1949,C,6-9,235.0,June 17 1926,,sprinji01
4282,Jim Spruill,1949,1949,G,6-2,225.0,February 26 1923,Rice University,spruiji01
4283,Ryan Stack,1999,2000,F,6-11,215.0,July 24 1975,South Carolina,stackry01
4284,Jerry Stackhouse,1996,2013,G-F,6-6,218.0,November 5 1974,UNC,stackje01
4285,Kevin Stacom,1975,1982,G,6-3,185.0,September 4 1951,Holy Cross Providence,stacoke01
4286,Erv Staggs,1970,1970,F-G,6-6,195.0,September 1 1948,North Carolina A&T Cheyney (PA),stagger01
4287,Bud Stallworth,1973,1977,F-G,6-5,190.0,January 18 1950,Kansas,stallbu01
4288,Dave Stallworth,1966,1975,F-C,6-7,200.0,December 20 1941,Wichita State,stallda01
4289,Ed Stanczak,1950,1951,F,6-1,185.0,August 15 1921,,stanced01
4290,Cassius Stanley,2021,2022,G,6-5,190.0,August 18 1999,Duke,stanlca01
4291,Terence Stansbury,1985,1987,G,6-5,170.0,February 27 1961,Temple,stanste01
4292,John Starks,1989,2002,G,6-3,180.0,August 10 1965,Oklahoma State,starkjo01
4293,Keith Starr,1977,1977,G-F,6-6,190.0,March 14 1954,Pitt,starrke01
4294,Nik Stauskas,2015,2022,G,6-6,205.0,October 7 1993,Michigan,stausni01
4295,Larry Staverman,1959,1964,F,6-7,205.0,October 11 1936,Thomas More College,stavela01
4296,Larry Steele,1972,1980,G-F,6-5,180.0,May 5 1949,Kentucky,steella01
4297,Matt Steigenga,1997,1997,F,6-7,225.0,March 27 1970,Michigan State,steigma01
4298,Vladimir Stepania,1999,2004,C,7-0,236.0,May 8 1976,,stepavl01
4299,D.J. Stephens,2014,2019,G-F,6-5,188.0,December 19 1990,Memphis,stephdj01
4300,Everette Stephens,1989,1991,G,6-2,175.0,October 21 1966,Purdue,stephev01
4301,Jack Stephens,1956,1956,G-F,6-3,185.0,May 18 1933,Notre Dame,stephja01
4302,Joe Stephens,1997,2000,F,6-7,210.0,January 28 1973,Colorado Little Rock,stephjo01
4303,Lance Stephenson,2011,2022,G-F,6-6,230.0,September 5 1990,Cincinnati,stephla01
4304,Alex Stepheson,2016,2016,F,6-10,270.0,August 7 1987,UNC USC,stephal01
4305,Brook Steppe,1983,1989,G-F,6-5,195.0,November 7 1959,Georgia Tech,steppbr01
4306,Barry Stevens,1993,1993,G-F,6-5,195.0,January 17 1963,Iowa State,steveba01
4307,Lamar Stevens,2021,2023,F,6-6,230.0,July 9 1997,Penn State,stevela01
4308,Wayne Stevens,1960,1960,F,6-3,185.0,June 19 1936,Cincinnati,stevewa01
4309,DeShawn Stevenson,2001,2013,G,6-5,210.0,April 3 1981,,stevede01
4310,Dennis Stewart,1971,1971,F,6-6,220.0,April 11 1947,Michigan,stewade01
4311,Isaiah Stewart,2021,2023,F-C,6-8,250.0,May 22 2001,Washington,stewais01
4312,Kebu Stewart,1998,1998,F,6-8,239.0,December 19 1973,UNLV Cal State-Bakersfield,stewake01
4313,Larry Stewart,1992,1997,F,6-8,220.0,September 21 1968,Coppin State University,stewala01
4314,Michael Stewart,1998,2005,C,6-10,230.0,April 25 1975,California,stewami01
4315,Norm Stewart,1957,1957,F,6-5,205.0,January 20 1935,Missouri,stewano01
4316,Greg Stiemsma,2012,2015,C,6-11,260.0,September 26 1985,Wisconsin,stiemgr01
4317,Steve Stipanovich,1984,1988,C,6-11,245.0,November 17 1960,Missouri,stipast01
4318,Bryant Stith,1993,2002,G,6-5,208.0,December 10 1970,Virginia,stithbr01
4319,Sam Stith,1962,1962,G,6-2,185.0,July 22 1937,St. Bonaventure,stithsa01
4320,Tom Stith,1963,1963,F,6-5,210.0,January 21 1939,St. Bonaventure,stithto01
4321,Alex Stivrins,1986,1993,F,6-8,220.0,November 29 1962,Creighton Colorado,stivral01
4322,David Stockton,2015,2018,G,5-11,165.0,June 24 1991,Gonzaga,stockda01
4323,John Stockton,1985,2003,G,6-1,170.0,March 26 1962,Gonzaga,stockjo01
4324,Peja Stojakovic,1999,2011,F,6-10,229.0,June 9 1977,,stojape01
4325,Ed Stokes,1998,1998,C,7-0,264.0,September 3 1971,Arizona,stokeed01
4326,Greg Stokes,1986,1990,F-C,6-10,220.0,August 5 1963,Iowa,stokegr01
4327,Jarnell Stokes,2015,2017,F-C,6-9,263.0,January 7 1994,Tennessee,stokeja01
4328,Maurice Stokes,1956,1958,F-C,6-7,232.0,June 17 1933,Saint Francis University,stokema01
4329,Art Stolkey,1947,1947,G,6-1,180.0,October 23 1920,Detroit Mercy,stolkar01
4330,Randy Stoll,1968,1968,C,6-7,235.0,,Washington State,stollra01
4331,Diamond Stone,2017,2017,C,6-11,255.0,February 10 1997,Maryland,stonedi01
4332,George Stone,1969,1972,F,6-7,195.0,February 9 1946,Marshall,stonege01
4333,Julyan Stone,2012,2018,G,6-6,200.0,December 7 1988,Texas-El Paso,stoneju01
4334,Awvee Storey,2005,2008,G-F,6-6,222.0,April 18 1977,Illinois Arizona State,storeaw01
4335,Damon Stoudamire,1996,2008,G,5-10,171.0,September 3 1973,Arizona,stoudda01
4336,Salim Stoudamire,2006,2008,G,6-1,179.0,October 11 1982,Arizona,stoudsa01
4337,Amar'e Stoudemire,2003,2016,F-C,6-10,245.0,November 16 1982,,stoudam01
4338,Paul Stovall,1973,1974,F,6-4,215.0,August 16 1948,Pratt Community College Arizona State,stovapa01
4339,D.J. Strawberry,2008,2008,G,6-5,201.0,June 15 1985,Maryland,strawdj01
4340,Joe Strawder,1966,1968,C,6-10,235.0,September 21 1940,Bradley,strawjo01
4341,Bill Stricker,1971,1971,F,6-9,210.0,January 22 1948,University of the Pacific,stricbi01
4342,Erick Strickland,1997,2005,G,6-3,210.0,November 25 1973,Nebraska,stricer01
4343,Mark Strickland,1995,2003,F,6-9,210.0,July 14 1970,Temple,stricma01
4344,Rod Strickland,1989,2005,G,6-3,175.0,July 11 1966,DePaul,stricro02
4345,Roger Strickland,1964,1964,F,6-5,200.0,September 4 1940,Jacksonville University,stricro01
4346,John Stroeder,1988,1989,F,6-10,260.0,July 24 1958,Montana,stroejo01
4347,Derek Strong,1992,2001,F,6-8,220.0,February 9 1968,Xavier,stronde01
4348,Lamont Strothers,1992,1993,G,6-4,190.0,May 10 1968,Christopher Newport University,strotla01
4349,John Stroud,1981,1981,F,6-7,215.0,October 29 1957,Ole Miss,stroujo01
4350,Red Stroud,1968,1968,G,6-0,160.0,May 2 1941,Mississippi State,stroure01
4351,Max Strus,2020,2023,G,6-5,215.0,March 28 1996,Lewis (IL) DePaul,strusma01
4352,Rodney Stuckey,2008,2017,G,6-5,210.0,April 21 1986,Eastern Washington,stuckro01
4353,Gene Stump,1948,1950,F-G,6-2,185.0,November 13 1923,DePaul,stumpge01
4354,Stan Stutz,1947,1949,G-F,5-10,170.0,April 14 1920,Rhode Island,stutzst01
4355,Jalen Suggs,2022,2023,G,6-4,205.0,June 3 2001,Gonzaga,suggsja01
4356,Gary Suiter,1971,1971,C-F,6-9,225.0,January 18 1945,Midwestern State University,suitega01
4357,Jared Sullinger,2013,2017,F,6-9,260.0,March 4 1992,Ohio State,sullija01
4358,DaJuan Summers,2010,2013,F,6-8,230.0,January 24 1988,Georgetown,summeda01
4359,Edmond Sumner,2018,2023,G,6-4,196.0,December 31 1995,Xavier,sumneed01
4360,Barry Sumpter,1989,1989,F-C,6-11,215.0,November 11 1965,Louisville Austin Peay State University,sumptba01
4361,Don Sunderlage,1954,1955,G,6-1,180.0,December 20 1929,Illinois,sundedo01
4362,Bruno Sundov,1999,2005,C,7-2,220.0,February 10 1980,,sundobr01
4363,Jon Sundvold,1984,1992,G,6-2,170.0,July 2 1961,Missouri,sundvjo01
4364,Bob Sura,1996,2005,G,6-5,200.0,March 25 1973,Florida State,surabo01
4365,Dick Surhoff,1953,1954,F,6-4,210.0,November 16 1929,Long Island University,surhodi01
4366,George Sutor,1968,1970,C,6-8,235.0,September 14 1943,La Salle,sutorge01
4367,Dane Suttle,1984,1985,G,6-3,190.0,August 9 1961,Pepperdine,suttlda01
4368,Greg Sutton,1992,1996,G,6-2,170.0,December 3 1967,Oral Roberts,suttogr01
4369,Keith Swagerty,1969,1970,F,6-7,235.0,October 30 1945,University of the Pacific,swageke01
4370,Bennie Swain,1959,1959,F,6-8,220.0,December 16 1933,Texas Southern,swainbe01
4371,Caleb Swanigan,2018,2020,F,6-9,260.0,April 18 1997,Purdue,swanica01
4372,Norm Swanson,1954,1954,F,6-6,210.0,October 4 1930,Detroit Mercy,swansno01
4373,Dan Swartz,1963,1963,F,6-4,215.0,December 23 1934,Morehead State University,swartda01
4374,Mike Sweetney,2004,2007,F,6-8,275.0,October 25 1982,Georgetown,sweetmi01
4375,Cole Swider,2023,2023,F,6-9,220.0,May 8 1999,Villanova Syracuse,swideco01
4376,Robert Swift,2005,2009,C,7-0,245.0,December 3 1985,,swiftro01
4377,Skeeter Swift,1970,1974,G,6-3,204.0,June 19 1946,East Tennessee State University,swiftsk01
4378,Stromile Swift,2001,2009,F,6-9,225.0,November 21 1979,LSU,swiftst01
4379,Aaron Swinson,1995,1995,F,6-5,230.0,January 9 1971,Auburn,swinsaa01
4380,Craig Sword,2022,2022,G,6-3,196.0,January 16 1994,Mississippi State,swordcr01
4381,Pape Sy,2011,2011,F,6-7,225.0,April 5 1988,,sypa01
4382,Buck Sydnor,1947,1947,G,5-10,175.0,September 19 1921,Western Kentucky,sydnobu01
4383,Keifer Sykes,2022,2022,G,6-0,180.0,December 30 1993,Green Bay,sykeske01
4384,Larry Sykes,1996,1996,F,6-9,255.0,April 11 1973,Xavier,sykesla01
4385,Brett Szabo,1997,1997,C,6-11,230.0,February 1 1968,Augustana College (SD),szabobr01
4386,Wally Szczerbiak,2000,2009,F,6-7,244.0,March 5 1977,Miami University,szczewa02
4387,Walt Szczerbiak,1972,1972,F,6-6,210.0,August 21 1949,George Washington,szczewa01
4388,Zan Tabak,1995,2001,C,7-0,245.0,June 15 1970,,tabakza01
4389,Yuta Tabuse,2005,2005,G,5-9,165.0,October 5 1980,Brigham Young University Hawaii,tabusyu01
4390,Chris Taft,2006,2006,F,6-10,260.0,March 10 1985,Pitt,taftch01
4391,Sid Tanenbaum,1948,1949,G,6-0,160.0,October 8 1925,NYU,tanensi01
4392,Dragan Tarlac,2001,2001,C,6-10,260.0,May 9 1973,,tarladr01
4393,Roy Tarpley,1987,1995,C-F,6-11,230.0,November 28 1964,Michigan,tarplro01
4394,Levern Tart,1968,1971,G-F,6-2,195.0,June 1 1942,Bradley,tartle01
4395,Jae'Sean Tate,2021,2023,F,6-4,230.0,October 28 1995,Ohio State,tateja01
4396,Earl Tatum,1977,1980,G-F,6-5,185.0,July 26 1953,Marquette,tatumea01
4397,Jayson Tatum,2018,2023,F,6-8,210.0,March 3 1998,Duke,tatumja01
4398,Edy Tavares,2016,2017,C,7-3,260.0,March 22 1992,,tavarwa01
4399,Anthony Taylor,1989,1989,G,6-4,175.0,November 30 1965,Oregon,tayloan01
4400,Brian Taylor,1973,1982,G,6-2,185.0,June 9 1951,Princeton,taylobr01
4401,Donell Taylor,2006,2007,G,6-6,180.0,July 26 1982,Okaloosa-Walton Community College UAB,taylodo01
4402,Fatty Taylor,1970,1977,G,6-0,175.0,March 13 1946,Dodge City Community College La Salle,taylofa01
4403,Fred Taylor,1971,1972,G-F,6-5,180.0,February 5 1948,University of Texas Rio Grande Valley,taylofr01
4404,Isaiah Taylor,2017,2018,G,6-3,170.0,July 11 1994,Texas,taylois01
4405,Jay Taylor,1990,1990,G,6-3,190.0,October 3 1967,Eastern Illinois University,tayloja01
4406,Jeff Taylor,1983,1987,G,6-4,175.0,January 1 1960,Texas Tech,tayloje01
4407,Jeff Taylor,2013,2015,F,6-7,225.0,May 23 1989,Vanderbilt,tayloje03
4408,Jermaine Taylor,2010,2011,G,6-4,210.0,December 8 1986,Central Florida,tayloje02
4409,Johnny Taylor,1998,2000,F,6-9,220.0,June 4 1974,Indian Hills Community College Chattanooga,taylojo01
4410,Leonard Taylor,1990,1990,F,6-8,220.0,May 2 1966,California,taylole01
4411,Maurice Taylor,1998,2007,F,6-9,260.0,October 30 1976,Michigan LSU,tayloma01
4412,Mike Taylor,2009,2009,G,6-2,165.0,January 21 1986,Iowa State,taylomi01
4413,Ollie Taylor,1971,1974,G-F,6-2,194.0,March 7 1947,San Jacinto College Houston,taylool01
4414,Ron Taylor,1970,1972,C,7-1,265.0,November 21 1947,USC,tayloro01
4415,Terry Taylor,2022,2023,G-F,6-5,230.0,September 23 1999,Austin Peay State University,taylote01
4416,Tyshawn Taylor,2013,2014,G,6-3,185.0,April 12 1990,Kansas,tayloty01
4417,Vince Taylor,1983,1983,G-F,6-5,180.0,September 11 1960,Duke,taylovi01
4418,Terry Teagle,1983,1993,F-G,6-5,195.0,April 10 1960,Baylor,teaglte01
4419,Jeff Teague,2010,2021,G,6-3,195.0,June 10 1988,Wake Forest,teaguje01
4420,Marquis Teague,2013,2018,G,6-2,189.0,February 28 1993,Kentucky,teaguma01
4421,Mirza Teletovic,2013,2018,F,6-9,242.0,September 18 1985,,teletmi01
4422,Sebastian Telfair,2005,2015,G,6-0,165.0,June 9 1985,,telfase01
4423,Collis Temple,1975,1975,F,6-8,220.0,November 8 1952,LSU,templco01
4424,Garrett Temple,2010,2023,G,6-5,195.0,May 8 1986,LSU,templga01
4425,Milos Teodosic,2018,2019,G,6-5,196.0,March 19 1987,,teodomi01
4426,Ira Terrell,1977,1979,F-C,6-8,200.0,June 19 1954,SMU,terreir01
4427,Jared Terrell,2019,2019,G,6-3,227.0,February 10 1995,Rhode Island,terreja01
4428,Carlos Terry,1981,1983,G-F,6-5,210.0,June 22 1956,Winston-Salem State,terryca01
4429,Chuck Terry,1973,1977,F,6-6,215.0,September 27 1950,Cal State Long Beach,terrych01
4430,Claude Terry,1973,1978,G-F,6-4,195.0,January 12 1950,Stanford,terrycl01
4431,Dalen Terry,2023,2023,G,6-7,195.0,July 12 2002,Arizona,terryda01
4432,Emanuel Terry,2019,2022,F,6-9,220.0,August 21 1996,Lincoln Memorial,terryem01
4433,Jason Terry,2000,2018,G,6-2,185.0,September 15 1977,Arizona,terryja01
4434,Tyrell Terry,2021,2022,G,6-2,160.0,September 28 2000,Stanford,terryty01
4435,Jon Teske,2022,2022,C,7-1,265.0,May 4 1997,Michigan,teskejo01
4436,Hasheem Thabeet,2010,2014,C,7-3,263.0,February 16 1987,UConn,thabeha01
4437,Tom Thacker,1964,1971,G-F,6-2,170.0,November 2 1939,Cincinnati,thackto01
4438,Floyd Theard,1970,1970,G,6-1,170.0,September 5 1944,Kentucky State University,thearfl01
4439,Daniel Theis,2018,2022,C,6-8,245.0,April 4 1992,,theisda01
4440,Reggie Theus,1979,1991,G,6-7,190.0,October 13 1957,UNLV,theusre01
4441,Peter Thibeaux,1985,1986,F,6-7,210.0,October 3 1961,Saint Mary's,thibepe01
4442,Bill Thieben,1957,1958,F-C,6-7,215.0,March 28 1935,Hofstra,thiebbi01
4443,Justus Thigpen,1970,1974,G,6-1,160.0,August 13 1947,Mott Community College Weber State,thigpju01
4444,David Thirdkill,1983,1987,F-G,6-7,195.0,April 12 1960,Bradley,thirdda01
4445,Adonis Thomas,2014,2014,F,6-7,200.0,March 25 1993,Memphis,thomaad01
4446,Billy Thomas,2005,2008,G,6-4,208.0,December 23 1975,Kansas,thomabi01
4447,Brodric Thomas,2021,2022,G,6-5,185.0,January 28 1997,Truman State University,thomabr01
4448,Cam Thomas,2022,2023,G,6-4,210.0,October 13 2001,LSU,thomaca02
4449,Carl Thomas,1992,1998,G,6-4,175.0,October 3 1969,Eastern Michigan,thomaca01
4450,Charles Thomas,1992,1992,G,6-3,175.0,October 3 1969,Eastern Michigan,thomach01
4451,Etan Thomas,2002,2011,F,6-9,256.0,April 1 1978,Syracuse,thomaet01
4452,Irving Thomas,1991,1991,F,6-8,225.0,January 2 1966,Kentucky Florida State,thomair01
4453,Isaiah Thomas,2012,2022,G,5-9,185.0,February 7 1989,Washington,thomais02
4454,Isiah Thomas,1982,1994,G,6-1,180.0,April 30 1961,Indiana,thomais01
4455,Jamel Thomas,2000,2001,F,6-6,215.0,March 25 1973,Providence,thomaja01
4456,James Thomas,2005,2006,F,6-8,235.0,November 22 1980,Texas,thomaja02
4457,Jim Thomas,1984,1991,G,6-3,190.0,October 19 1960,Indiana,thomaji01
4458,Joe Thomas,1971,1971,F,6-6,205.0,March 9 1948,Marquette,thomajo01
4459,John Thomas,1998,2006,F,6-9,265.0,September 8 1975,Minnesota,thomajo02
4460,Kenny Thomas,2000,2010,F,6-7,261.0,July 25 1977,New Mexico,thomake01
4461,Khyri Thomas,2019,2021,G,6-3,210.0,May 8 1996,Creighton,thomakh01
4462,Kurt Thomas,1996,2013,F,6-9,230.0,October 4 1972,TCU,thomaku01
4463,Lance Thomas,2012,2020,F,6-8,240.0,April 24 1988,Duke,thomala01
4464,Malcolm Thomas,2012,2015,F,6-9,225.0,November 8 1988,Pepperdine San Diego State,thomama01
4465,Matt Thomas,2020,2022,G,6-4,190.0,August 4 1994,Iowa State,thomama02
4466,Ron Thomas,1973,1976,F,6-6,215.0,November 19 1950,Trinity Valley CC Louisville,thomaro01
4467,Terry Thomas,1976,1976,F,6-8,220.0,August 20 1953,Detroit Mercy,thomate01
4468,Tim Thomas,1998,2010,F,6-10,230.0,February 26 1977,Villanova,thomati01
4469,Tyrus Thomas,2007,2015,F,6-9,215.0,August 17 1986,LSU,thomaty01
4470,Willis Thomas,1968,1968,G,6-2,185.0,,Harbor College,thomawi01
4471,Trey Thompkins,2012,2012,F,6-10,245.0,May 20 1990,Georgia,thomptr02
4472,Bernard Thompson,1985,1989,F-G,6-6,210.0,August 30 1962,Fresno State,thompbe01
4473,Billy Thompson,1987,1992,F,6-7,195.0,December 1 1963,Louisville,thompbi01
4474,Brooks Thompson,1995,1998,G,6-4,193.0,July 19 1970,Texas A&M Oklahoma State,thompbr01
4475,Corny Thompson,1983,1983,F,6-8,225.0,February 5 1960,UConn,thompco01
4476,David Thompson,1976,1984,G-F,6-4,195.0,July 13 1954,NC State,thompda01
4477,Dijon Thompson,2006,2007,G-F,6-7,195.0,February 23 1983,UCLA,thompdi01
4478,George Thompson,1970,1975,G,6-2,200.0,November 29 1947,Marquette,thompge01
4479,Hollis Thompson,2014,2017,G-F,6-8,206.0,April 3 1991,Georgetown,thompho01
4480,Jack Thompson,1969,1969,G,6-1,185.0,March 26 1946,South Carolina,thompja01
4481,Jason Thompson,2009,2016,F-C,6-11,250.0,July 21 1986,Rider University,thompja02
4482,John Thompson,1965,1966,F,6-10,225.0,September 2 1941,Providence,thompjo01
4483,Kevin Thompson,1994,1994,C-F,6-11,260.0,February 7 1971,NC State,thompke01
4484,Klay Thompson,2012,2023,G-F,6-6,215.0,February 8 1990,Washington State,thompkl01
4485,LaSalle Thompson,1983,1997,C-F,6-10,245.0,June 23 1961,Texas,thompla01
4486,Mychal Thompson,1979,1991,C-F,6-10,226.0,January 30 1955,Minnesota,thompmy01
4487,Mychel Thompson,2012,2012,G,6-6,211.0,June 1 1988,Pepperdine,thompmy02
4488,Paul Thompson,1984,1986,G-F,6-6,210.0,May 25 1961,Tulane,thomppa01
4489,Stephen Thompson,1992,1992,G,6-4,185.0,December 2 1968,Syracuse,thompst01
4490,Tristan Thompson,2012,2022,F-C,6-9,254.0,March 13 1991,Texas,thomptr01
4491,JT Thor,2022,2023,F,6-10,205.0,August 26 2002,Auburn,thorjt01
4492,Skip Thoren,1968,1970,C,6-10,230.0,April 5 1943,Illinois,thoresk01
4493,Rod Thorn,1964,1971,G,6-4,195.0,May 23 1941,West Virginia,thornro01
4494,Al Thornton,2008,2011,F,6-8,220.0,December 7 1983,Florida State,thornal01
4495,Bob Thornton,1986,1996,F-C,6-10,225.0,July 10 1962,University of California Irvine,thornbo01
4496,Dallas Thornton,1969,1970,G,6-4,190.0,September 1 1946,Kentucky Wesleyan College,thornda01
4497,Marcus Thornton,2010,2017,G,6-4,205.0,June 5 1987,LSU,thornma01
4498,Sindarius Thornwell,2018,2021,G,6-4,215.0,November 15 1994,South Carolina,thornsi01
4499,Otis Thorpe,1985,2001,F-C,6-9,225.0,August 5 1962,Providence,thorpot01
4500,Sedale Threatt,1984,1997,G,6-2,175.0,September 10 1961,West Virginia Tech,threase01
4501,Nate Thurmond,1964,1977,C-F,6-11,225.0,July 25 1941,Bowling Green,thurmna01
4502,Mel Thurston,1948,1948,G,6-0,175.0,January 16 1919,Canisius,thursme01
4503,Matisse Thybulle,2020,2023,G,6-5,201.0,March 4 1997,Washington,thybuma01
4504,Hal Tidrick,1949,1949,F-G,6-1,190.0,April 4 1915,Washington & Jefferson College,tidriha01
4505,Dan Tieman,1963,1963,G,6-0,185.0,November 30 1940,Thomas More College,tiemada01
4506,Killian Tillie,2021,2022,F,6-9,220.0,March 5 1998,Gonzaga,tilliki02
4507,Darren Tillis,1983,1984,C-F,6-11,215.0,February 23 1960,Cleveland State University,tillida01
4508,Xavier Tillman Sr.,2021,2023,F,6-8,245.0,January 12 1999,Michigan State,tillmxa01
4509,Jack Tingle,1948,1949,F,6-4,205.0,December 30 1924,Kentucky,tinglja01
4510,George Tinsley,1970,1972,F,6-5,205.0,September 19 1946,Kentucky Wesleyan College,tinslge01
4511,Jamaal Tinsley,2002,2014,G,6-3,195.0,February 28 1978,Iowa State,tinslja01
4512,Wayman Tisdale,1986,1997,F-C,6-9,240.0,June 9 1964,Oklahoma,tisdawa01
4513,Mike Tobey,2017,2017,C,7-0,260.0,October 10 1994,Virginia,tobeymi01
4514,Isaiah Todd,2022,2023,F,6-10,220.0,October 17 2001,,toddis01
4515,Mike Todorovich,1950,1951,F-C,6-5,220.0,June 11 1923,Wyoming,todormi01
4516,Ray Tolbert,1982,1989,F,6-9,225.0,September 10 1958,Indiana,tolbera01
4517,Tom Tolbert,1989,1995,F-C,6-7,235.0,October 16 1965,University of California Irvine Arizona,tolbeto01
4518,Anthony Tolliver,2009,2021,F-C,6-8,240.0,June 1 1985,Creighton,tollian01
4519,Dean Tolson,1975,1978,F,6-8,190.0,November 25 1951,Arkansas,tolsode01
4520,Rudy Tomjanovich,1971,1981,F,6-8,218.0,November 24 1948,Michigan,tomjaru01
4521,Andrew Toney,1981,1988,G,6-3,178.0,November 23 1957,Louisiana,toneyan01
